Austin Powers (1997),"['J STRAUSS II An der schonen, blauen Donau (The Beautiful Blue Danube), Op. 314 (8.550152)']"
Austin Powers in Goldmember (2002),"['BEETHOVEN Symphony No. 5 in C minor, Op. 67: I. Allegro con brio (8.553476)', 'ELGAR Pomp and Circumstance Military March No. 1 (8.557273)']"
Autumn Sonata (1978),"['JS BACH Cello Suite No. 4 in E-flat major, BWV 1010: IV. Sarabande (8.557280-81)', 'CHOPIN Prelude No. 2 in A minor, Op. 28, No. 2 (8.554536)', 'HANDEL Recorder Sonata in F major Op. 1, No. 11, HWV 369 (8.550700)', 'R SCHUMANN 8 Fantasiestucke, Op. 12: No. 2. Aufschwung (8.550493)', 'R SCHUMANN Piano Concerto in A minor, Op. 54: III. Allegro vivace (8.550118)']"
Avengers (1998),"['CHOPIN Waltz No. 7 in C-sharp minor, Op. 64, No. 2 (8.554539)']"
Avengers: Age of Ultron (2015),"['BELLINI Norma: Casta diva (8.110325-27)', ""DUKE I Can't Get Started (8.120661)"", 'PROKOFIEV Cinderella, Op. 87 (Via Classic\xa03700403528336)', 'PART Berliner Messe (8.557299)', 'SALIERI Piano Concerto in C major: II. Larghetto (Teldec\xa0825646985517)']"
Avenir (L') (2016),"['SCHUBERT Auf dem Wasser zu singen, D. 774 (8.557568)']"
Aviator (The) (2004),"['JS BACH Toccata and Fugue in D Minor, BWV 565 (arr. L. Stokowski for orchestra) (8.572050)', 'TCHAIKOVSKY Symphony No. 6 in B minor, Op. 74, ""Pathetique"" (8.550782)']"
Awakenings (1990),"['MOZART Sinfonia Concertante in E-flat major, K. 297b (8.550159)', 'PUCCINI La boheme: O soave fanciulla (8.553151)']"
Babe (1995),"['BIZET Carmen: Votre toast, je peux vous le rendre (8.660005-07)', 'DELIBES Sylvia: Pizzicato (8.550080)', 'FAURE Cantique de Jean Racine, Op. 11 (8.550765)', 'GRIEG Lyric Pieces, Book 4, Op. 47: Springdans (8.553394)', 'SAINT-SAENS Carnival of the Animals: III. Wild Asses (8.550335)', 'SAINT-SAENS Symphony No. 3 in C minor, Op. 78, ""Organ"": II. Maestoso - Allegro - Piu allegro - Molto allegro - Pesante (8.550138)']"
Babe: Pig in the City (1998),"['ROSSINI Il Barbiere di Siviglia (The Barber of Seville): Largo al factotum della citta (8.660027-29)', 'SAINT-SAENS Symphony No. 3 in C minor, Op. 78, ""Organ"": II. Maestoso - Allegro - Piu allegro - Molto allegro - Pesante (8.550138)', 'VERDI Il Trovatore: Vedi, le fosche notturne, ""Anvil Chorus"" (8.660023-24)']"
Babette's Feast (1987),"['MOZART Don Giovanni, K. 527: La ci darem la mano (8.660080-82)']"
Bachelor (The),"['CHOPIN\tPiano Sonata No. 2 in B-flat minor, Op. 35: III. Marche funebre (8.554533)', 'ORFF Carmina Burana: O Fortuna (8.550196)', 'WAGNER Lohengrin: Bridal Chorus (8.550507)']"
Backstreet Dreams (1990),"['LEONCAVALLO I Pagliacci: Vesti la giubba (8.660021)', 'VERDI Rigoletto: La donna e mobile (8.660013-14)']"
Bad Boys II,"['JS BACH Toccata and Fugue in D minor, BWV 565 (8.553859)']"
Bad Company (2002),"['JS BACH Concerto for 2 Violins in D minor, BWV 1043 (8.550194)', 'RACHMANINOV Moments musicaux, Op. 16 (8.571289)']"
Bad Education (2019),"['JS BACH Overture (Suite) No. 3 in D major, BWV 1068: II. Air (8.550245)', 'DVORAK Violin Concerto in A minor, Op. 53, B. 96: III. Finale: Allegro giocoso, ma non troppo (8.550758)']"
Bad Education Movie (The) (2015),"['JS BACH Toccata and Fugue in D minor, BWV 565: I. Toccata (8.553859)', 'DELIBES Lakme: Viens, Mallika... Dome epais, ""Flower Duet"" (8.553168)', 'R STRAUSS Also sprach Zarathustra, Op. 30, TrV 176: I. Also sprach Zarathustra (8.550182)']"
Bad Moms (2016),"['MOZART Piano Quartet in E-flat major, K. 493 (8.554274)']"
Bad Santa (2003),"['CHOPIN Nocturne No. 2 in E-flat major, Op. 9, No. 2 (8.554531)', 'ROSSINI Il barbiere di Siviglia (The Barber of Seville): Sinfonia (8.660027-29)', 'SHOSTAKOVICH Jazz Suite No. 2 (Suite for Stage Variety Orchestra) (8.555949)', 'TCHAIKOVSKY Sleeping Beauty: Waltz (8.550079)', 'VERDI Il Trovatore: Vedi, le fosche notturne, ""Anvil Chorus"" (8.660023-24)']"
Badlands (1973),"['ORFF Musica Poetica (Celestial Harmonies\xa013104-2)', 'SATIE 3 morceaux en forme de poire (8.550699)']"
Baghdad Cafe (1987),"['JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 1 in C major, BWV 846 (8.553796-97)']"
Banger Sisters (The) (2002),"['VIVALDI The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L\'autunno"" (Autumn): III. Allegro (8.550056)']"
Barbara (I) (2012),"['CHOPIN Nocturne No. 6 in G minor, Op. 15, No. 3 (8.554531)']"
Barbarella (1968),"['JS BACH Toccata and Fugue in D minor, BWV 565 (8.553859)']"
Barber of Siberia (The) (Sibirskiy tsiryulnik) (1998),"['MOZART Piano Concerto No. 23 in A major, K. 488 (8.550204)', 'J STRAUSS II Geschichten aus dem Wienerwald (Tales from the Vienna Woods), Op. 325 (8.550152)', 'VERDI Rigoletto: Caro nome che il mio cor (8.660013-14)']"
Barfly (1987),"['MOZART Exsultate, jubilate, K. 165 (8.550495)', 'MOZART Piano Concerto No. 25 in C major, K. 503 (8.550207)', 'MOZART Symphony No. 25 in G minor, K. 183 (8.550113)', 'SCRIABIN La Poeme de l\'extase (The Poem of Ecstasy), Op. 54, ""Symphony No. 4"" (8.553582)']"
Barry Lyndon (1975),"['JS BACH Concerto for 2 Harpsichords in C minor, BWV 1060: II. Largo ovvero adagio (8.554606)', 'HANDEL Harpsichord Suite No. 11: Sarabande (8.550416)', 'MOZART Idomeneo re di Creta, K. 366: March (8.660250-52)', 'PAISIELLO Il barbiere di Siviglia (The Barber of Seville): Saper bramate (Dynamic\xa0CDS417)', 'SCHUBERT Piano Trio in E-flat major, D. 929: II. Andante con moto (8.550132)', 'SCHUBERT 5 German Dances and 7 Trios with Coda, D. 90: No. 1 in C major (Capriccio\xa0C10526)', 'VIVALDI Cello Concerto in E minor, RV 409: III. Allegro (8.550909)']"
Basic (2003),['RAVEL Bolero (8.550501)']
Basquiat (1996),"['GORECKI Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"" (8.550822)', ""VERDI Il Trovatore: D'amor sull'ali rosee vanne (8.660023-24)""]"
Batman (1989),"['MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": II. Romanze (8.550026)']"
Batman v Superman: Dawn of Justice (2016),['SHOSTAKOVICH Jazz Suite No. 2 (Suite for Stage Variety Orchestra): VI. Waltz 2 (8.555949)']
Bats (1999),"['DONIZZETI Lucia di Lammermoor: Appressati, Lucia (8.660255-56)', 'DONIZETTI Lucia di Lammermoor: Soffriva nel pianto (8.660255-56)']"
Beaches (1988),"['MORLEY Now is the month of maying (Dorian Sono Luminus\xa0DOR-90015)', 'WAGNER Lohengrin: Bridal Chorus (8.550507)']"
Bean,"['HANDEL Keyboard Suite No. 5 in E major, HWV 430: IV. Air and Variations (8.550415)']"
Bear,"['HANDEL Suite No. 5 in E major: Air with Variations, ""Harmonious Blacksmith"" (8.550107)']"
Beast (2017),"['CHOPIN Fantasy-Impromptu in C sharp minor, Op. 66 (8.550362)']"
Beast (The) (Biseuteo) (2019),"['BRAHMS Piano Sonata No. 3 in F Minor, Op. 5 (8.550352)', 'CATALANI La Wally: Ebben Ne andro lontana (8.550606)', 'CHOPIN Etude No. 24 in C Minor, Op. 25, No. 12 (8.554528)', 'LISZT 3 etudes de concert, S144/R5: No. 3 in D - Flat Major, ""Un sospiro"" (8.557014)']"
Beast with Five Fingers (1946),"['JS BACH Violin Partita No. 2 in D minor, BWV 1004: V. Ciaconna (8.570277-78)']"
Beautiful Day in the Neighborhood (A) (2019),"['PACHELBEL Canon in D major (8.550104)', 'R SCHUMANN Bilder aus Osten, Op. 66 (OehmsClassics\xa0OC449)']"
Beautiful Mind (A) (2001),"['MOZART Piano Sonata No. 11 in A major, K. 331 (8.550448)']"
Beautiful Boy (2018),"['GORECKI\t Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": II. Lento e largo (8.550822)']"
Beetlejuice (1988),['WAGNER Lohengrin: Bridal Chorus (8.550507)']
