"JS BACH Overture (Suite) No. 2 in B minor, BWV 1067: VI. Minuet (8.554609)",['Father of the Bride (1991))']
"JS BACH Overture (Suite) No. 2 in B minor, BWV 1067: VII. Badinerie (8.554609)","['Father of the Bride (1991)', 'Spider-Man 2 (2004))']"
"JS BACH Overture (Suite) No. 3 in D major, BWV 1068 (8.554609)","['Below Utopia (1997)', 'Beyond Utopia (1984)', 'Bullets, Fangs and Dinner at 8 (2015))']"
"JS BACH Overture (Suite) No. 3 in D major, BWV 1068: I. Ouverture (8.554609)",['Hilary and Jackie (1998))']
"JS BACH Overture (Suite) No. 3 in D major, BWV 1068: II. Air (8.550245)","['After Hours (1985)', 'Bad Education (2019)', ""Devil's Advocate (The) (1997)"", 'Counterfeiter (The) (2017)', 'Equals (2015)', 'Everybody Knows  (Todos lo saben) (2018)', 'Heartbreakers (2001)', 'I Married a Strange Person! (1997)', 'Moll Flanders (1996)', 'One Night Stand (1997)', 'Runaway Bride (1999)', 'Scouts Guide to the Zombie Apocalypse (2015)', 'Seven (1995)', 'Spy Who Loved Me (The) (1977))']"
"JS BACH  Overture (Suite) No. 3 in D major, BWV 1068: III. Gavotte I and II (8.554609)",['In the Line of Fire (1993))']
"JS BACH Overture (Suite) No. 3 in D major, BWV 1068: IV. Bourree (8.554609)",['Master of Disguise (The) (2002))']
"JS BACH Partita No. 1 in B-flat major, BWV 825 (8.550692)","['Couch in New York (A) (1996)', ""Lee Daniels' The Butler (I) (2013))""]"
"JS BACH Partita No. 2 in D minor, BWV 1004: V. Ciaccona (8.550570)",['Joueur de violon (1994))']
"JS BACH Partita No. 4 in D major, BWV 828: III. Courante (8.550693)",['Exposed (1983))']
"JS BACH Passacaglia and Fugue in C minor, BWV 582: I. Passacaglia (8.553859)",['White Nights (1985))']
"JS BACH Pastorale in F major, BWV 590: III. Aria (8.550184)",['Favourite (The) (2018))']
"JS BACH Prelude and Fughetta in G major, BWV 902 (8.550692)","['My Cousin Rachel (2017)', 'Unbreakable (2000))']"
JS BACH Prelude in C Major BWV 846 (8.553796-97),['X/Y (2014))']
"JS BACH Prelude in D minor, BWV 926 (Sony 827969301623)",['Glenn Gould (32 Short Films about) (1993))']
"JS BACH Prelude in E - Flat Minor, BWV 853 (8.553097)",['Life with Music (2020))']
"JS BACH Prelude No. 12 in F Minor, BWV 881 (8.550970-71)",['London Fields (2018))']
"JS BACH St. John Passion, BWV 245: Part 1 No. 1: Chor - Herr, unser Herrscher (8.550664-65)","[""Daniel Isn't Real (2019))""]"
"JS BACH St. Matthew Passion, BWV 244 (8.550832-34)","['Hotel (2001)', 'Japon (2002))']"
"JS BACH St. Matthew Passion, BWV 244: Aus Liebe will mein Heiland sterben! (8.550832-34)",['You Can Count on Me (2000))']
"JS BACH St. Matthew Passion, BWV 244: Erbarme dich (8.550832-34)",['Divided We Fall (2000))']
