COMPOSER composition title,composer(abbrev),composition
"MOZART Sinfonia Concertante in E-flat major, K. 364: I. Allegro maestoso (8.550332)",MOZART,"Sinfonia Concertante in E-flat major, K. 364: I. Allegro maestoso"
"MOZART Symphony No. 25 in G minor, K. 183: I. Allegro con brio (8.550113)",MOZART,"Symphony No. 25 in G minor, K. 183: I. Allegro con brio"
"MOZART Symphony No. 29 in A major, K. 201: I. Allegro moderato (8.550119)",MOZART,"Symphony No. 29 in A major, K. 201: I. Allegro moderato"
PERGOLESI Stabat Mater: Quando corpus morietur (8.557447),PERGOLESI,Stabat Mater: Quando corpus morietur
"JS BACH Goldberg Variations, BWV 988: Aria (8.550078)",JS BACH,"Goldberg Variations, BWV 988: Aria"
"BRITTEN Variations on a Theme of Frank Bridge, Op. 10 (8.550823)",BRITTEN,"Variations on a Theme of Frank Bridge, Op. 10"
"SHOSTAKOVICH String Quartet No. 3 in F major, Op. 73 (8.550974)",SHOSTAKOVICH,"String Quartet No. 3 in F major, Op. 73"
"BRAHMS 25 Variations and Fugue on a Theme by Handel, Op. 24 (Idil Biret Archive 8.571295)",BRAHMS,"25 Variations and Fugue on a Theme by Handel, Op. 24"
ELGAR Pomp and Circumstance Military March No. 1 (8.557273),ELGAR,Pomp and Circumstance Military March No. 1
"CHOPIN Piano Sonata No. 2 in B-flat minor, Op. 35: III. Marche funebre (8.554533)",CHOPIN,"Piano Sonata No. 2 in B-flat minor, Op. 35: III. Marche funebre"
"BARBER Adagio for Strings, Op. 11 (8.559088)",BARBER,"Adagio for Strings, Op. 11"
"MOZART Clarinet Concerto in A major, K. 622: II. Adagio (8.550345)",MOZART,"Clarinet Concerto in A major, K. 622: II. Adagio"
"JS BACH Brandenburg Concerto No. 5 in D major, BWV 1050: I. Allegro (8.554608)",JS BACH,"Brandenburg Concerto No. 5 in D major, BWV 1050: I. Allegro"
"DELIBES Lakme: Viens, Mallika... Dome epais, ""Flower Duet"" (8.553168)",DELIBES,"Lakme: Viens, Mallika... Dome epais, ""Flower Duet"""
GOUNOD Faust Ballet Music (8.550081),GOUNOD,Faust Ballet Music
"HAYDN String Quartet in F major, Op. 3, No. 5, Hob.III:17, ""Serenade"" (8.555704)",HAYDN,"String Quartet in F major, Op. 3, No. 5, Hob.III:17, ""Serenade"""
RAVEL Daphnis et Chloe (8.571211),RAVEL,Daphnis et Chloe
RAVEL Daphnis et Chloe: Part III (8.571211),RAVEL,Daphnis et Chloe: Part III
"VIOTTI String Quartet No. 2 in B-flat major, G. 113: II. Andante (Dynamic CDS138)",VIOTTI,"String Quartet No. 2 in B-flat major, G. 113: II. Andante"
"VIOTTI String Quartet No. 3 in G major, G. 114: III. Andantino (Dynamic CDS138)",VIOTTI,"String Quartet No. 3 in G major, G. 114: III. Andantino"
"VERDI Rigoletto: Cortigiani, vil razza dannata (8.660013-14)",VERDI,"Rigoletto: Cortigiani, vil razza dannata"
"JS BACH Ich ruf' zu Dir, Herr Jesu Christ (I call on you, Lord Jesus Christ), BWV 639 (8.553032)",JS BACH,"Ich ruf' zu Dir, Herr Jesu Christ"
