COMPOSER composition title,composer(abbrev),composition
"MOZART Cosi fan tutte, K. 588: Un'aura amorosa (8.660008-10)",MOZART,"Cosi fan tutte, K. 588: Un'aura amorosa"
"LALO Le roi d'Ys, Act III: Vainement, ma bien-aimiee, ""Aubade"" (8.570202)",LALO,"Le roi d'Ys, Act III: Vainement, ma bien-aimiee, ""Aubade"""
"PROKOFIEV Peter and the Wolf, Op. 67 (8.554170)",PROKOFIEV,"Peter and the Wolf, Op. 67"
ORFF Carmina Burana (8.550196),ORFF,Carmina Burana
"SCHUBERT Piano Quintet in A major, Op. 114, D. 667, ""Die Forelle"" (The Trout): IV. Thema With Variations (8.553255)",SCHUBERT,"Piano Quintet in A major, Op. 114, D. 667, ""Die Forelle"""
"VIVALDI The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"" (Summer): I. Allegro non molto (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"""
WAGNER Lohengrin: Bridal Chorus (arr. for organ) (8.570227-28),WAGNER,Lohengrin: Bridal Chorus
"MOZART Piano Sonata No. 12 in F major, K. 332 (8.550446)",MOZART,"Piano Sonata No. 12 in F major, K. 332"
DEBUSSY Prelude a l'apres-midi d'un faune (8.550262),DEBUSSY,Prelude a l'apres-midi d'un faune
"CHOPIN Mazurka No. 23 in D major, Op. 33, No. 2 (8.554529)",CHOPIN,"Mazurka No. 23 in D major, Op. 33, No. 2"
"CHOPIN Waltz No. 10 in B minor, Op. 69, No. 2 (8.554539)",CHOPIN,"Waltz No. 10 in B minor, Op. 69, No. 2"
"SCHUBERT Symphony No. 2 in B-flat major, D. 125: II. Andante (8.553093)",SCHUBERT,"Symphony No. 2 in B-flat major, D. 125: II. Andante"
"SCHUBERT Symphony No. 2 in B-flat major, D. 125: III. Menueto (8.553093)",SCHUBERT,"Symphony No. 2 in B-flat major, D. 125: III. Menueto"
"VIVALDI Gloria in D major, RV 589 (8.550767)",VIVALDI,"Gloria in D major, RV 589"
SHOSTAKOVICH Jazz Suite No. 1 (8.555949),SHOSTAKOVICH,Jazz Suite No. 1
"TCHAIKOVSKY 6 Morceaux, Op. 51 (excerpts): No. 6. Valse sentimentale (8.553063)",TCHAIKOVSKY,"6 Morceaux, Op. 51"
"MOZART  Piano Concerto No. 23 in A major, K. 488: II. Adagio (8.550204)",MOZART,"Piano Concerto No. 23 in A major, K. 488: II. Adagio"
GOUNOD Messe solennelle de Sainte Cecile: Sanctus (BR-Klassik 900114),GOUNOD,Messe solennelle de Sainte Cecile: Sanctus
WAGNER Die Walkure: Vorspiel (8.660172-74),WAGNER,Die Walkure: Vorspiel
"MOZART Violin Concerto No. 1 in B-flat major, K. 207 (8.550414)",MOZART,"Violin Concerto No. 1 in B-flat major, K. 207"
"MOZART  Die Zauberflote (The Magic Flute), K. 620: Der Holle Rache kocht in meinem Herzen (8.660030-31)",MOZART,Die Zauberflote
FRANCK Violin Sonata in A major: I. Allegretto ben moderato (8.550417),FRANCK,Violin Sonata in A major: I. Allegretto ben moderato
PALESTRINA Missa Hodie Christus natus est: Kyrie (8.550836),PALESTRINA,Missa Hodie Christus natus est: Kyrie
WAGNER Das Rheingold: Verwandlungsmusik (8.660170-71),WAGNER,Das Rheingold: Verwandlungsmusik
WAGNER  Lohengrin: Bridal Chorus (8.550507),WAGNER,Lohengrin: Bridal Chorus
BRAHMS Symphony No. 3 (8.550280),BRAHMS,Symphony No. 3
"BEETHOVEN Violin Concerto in D major, Op. 61: III. Rondo: Allegro (8.550149)",BEETHOVEN,"Violin Concerto in D major, Op. 61: III. Rondo: Allegro"
"SCHUBERT Piano Quintet in A major, Op. 114, D. 667, ""Die Forelle"" (The Trout) (8.553255)",SCHUBERT,"Piano Quintet in A major, Op. 114, D. 667, ""Die Forelle"""
"JS BACH Violin Concerto in A minor, BWV 1041: II. Andante (8.550194)",JS BACH,"Violin Concerto in A minor, BWV 1041: II. Andante"
GRIEG Ich liebe dich (8.990019),GRIEG,Ich liebe dich
"MOZART Requiem in D Minor, K. 626: Confutatis maledictis (8.550235)",MOZART,"Requiem in D Minor, K. 626: Confutatis maledictis"
VERDI Aida: Celeste Aida (8.660033-34),VERDI,Aida
"JS BACH Violin Sonata No. 2 in A minor, BWV 1003: I. Grave (8.554422)",JS BACH,"Violin Sonata No. 2 in A minor, BWV 1003: I. Grave"
BEETHOVEN Fidelio: Mir ist so wunderbar (8.660070-71),BEETHOVEN,Fidelio: Mir ist so wunderbar
GLINKA Valse-fantasie in B minor (BIS BIS-CD-979),GLINKA,Valse-fantasie in B minor
"TARTINI Violin Sonata in G minor ""The Devil's Trill"" (8.578085-86)",TARTINI,"Violin Sonata in G minor ""The Devil's Trill"""
JC BACH String Quartet in B-flat major: II. Rondeau (8.557361),JC BACH,String Quartet in B-flat major: II. Rondeau
SMETANA The Bartered Bride (Prodana nevesta) (8.110098-99),SMETANA,The Bartered Bride
TRADITIONAL Greensleeves (8.553442),TRADITIONAL,Greensleeves
"BEETHOVEN Symphony No. 7 in A major, Op. 92 (8.553477)",BEETHOVEN,"Symphony No. 7 in A major, Op. 92"
"HANDEL Semele, HWV 58: Where'er you walk (8.570431-33)",HANDEL,"Semele, HWV 58: Where'er you walk"
"JS BACH Lobet den Herrn, alle Heiden, BWV 230 (8.553823)",JS BACH,"Lobet den Herrn, alle Heiden, BWV 230"
"BEETHOVEN Fantasia in C minor, Op. 80, ""Choral Fantasy"": Allegretto, ma non troppo (CAvi-music CAvi8553120)",BEETHOVEN,"Fantasia in C minor, Op. 80, ""Choral Fantasy"": Allegretto, ma non troppo"
"BRUCKNER Os justi, WAB 30 (8.550956)",BRUCKNER,"Os justi, WAB 30"
SHEPPARD Haec Dies (Chandos CHSA0401),SHEPPARD,Haec Dies
"PURCELL The Indian Queen, Z. 630: Trumpet Tune (8.556839)",PURCELL,"The Indian Queen, Z. 630: Trumpet Tune"
"DEBUSSY Preludes, Book 1: No. 6 Des pas sur la neige (8.553293)",DEBUSSY,"Preludes, Book 1: No. 6 Des pas sur la neige"
"MOZART Divertimento in D major, K. 136, ""Salzburg Symphony No. 1"": I. Allegro (8.550108)",MOZART,"Divertimento in D major, K. 136, ""Salzburg Symphony No. 1"": I. Allegro"
"MOZART Divertimento in D major, K. 136, ""Salzburg Symphony No. 1"": III. Presto (8.550108)",MOZART,"Divertimento in D major, K. 136, ""Salzburg Symphony No. 1"": III. Presto"
"MOZART Sinfonia Concertante in E-flat major, K. 364 (8.550332)",MOZART,"Sinfonia Concertante in E-flat major, K. 364"
"MOZART Piano Concerto No. 19 in F major, K. 459 (8.550208)",MOZART,"Piano Concerto No. 19 in F major, K. 459"
"VIVALDI The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"" (Summer) (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"""
VERDI Aida: Marcia (8.660033-34),VERDI,Aida: Marcia
GRAINGER Country Gardens & Londonderry Air (8.554263),GRAINGER,Country Gardens & Londonderry Air
"MACDOWELL Woodland Sketches, Op. 51: No. 1: To a Wild Rose (8.559010)",MACDOWELL,"Woodland Sketches, Op. 51: No. 1: To a Wild Rose"
"HANDEL Rodelinda, HWV 19: Act III Scene 8: Aria: Mio caro bene! (Dynamic CDS7724)",HANDEL,"Rodelinda, HWV 19: Act III Scene 8: Aria: Mio caro bene!"
"CHOPIN Andante spianato and Grande Polonaise Brillante, Op. 22 (8.554535)",CHOPIN,"Andante spianato and Grande Polonaise Brillante, Op. 22"
"JS BACH Violin Concerto in E major, BWV 1042: III. Allegro assai (8.550194)",JS BACH,"Violin Concerto in E major, BWV 1042: III. Allegro assai"
"CHOPIN Nocturne No. 15 in F minor, Op. 55, No. 1 (8.554532)",CHOPIN,"Nocturne No. 15 in F minor, Op. 55, No. 1"
"BEETHOVEN Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto (8.550045)",BEETHOVEN,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto"
"JS BACH Cantata, BWV 56: Komm, o Tod, du Schlafes Bruder (Capriccio C67190)",JS BACH,"Cantata, BWV 56: Komm, o Tod, du Schlafes Bruder"
COUPERIN 3 Lecons de tenebres: Manum suam misit hostis (Harmonia Mundi HMA195210),COUPERIN,3 Lecons de tenebres: Manum suam misit hostis
"PENDERECKI Tren (Threnody), ""To the Victims of Hiroshima"" (8.554491)",PENDERECKI,Tren
"CHOPIN Mazurka No. 47 in A minor, Op. 68, No. 2 (8.554530)",CHOPIN,"Mazurka No. 47 in A minor, Op. 68, No. 2"
"DVORAK Rusalka, Op. 114: Polonaise (8.550376)",DVORAK,"Rusalka, Op. 114: Polonaise"
"DVORAK Stabat Mater, Op. 58, B. 71: Stabat mater dolorosa (8.555301-02)",DVORAK,"Stabat Mater, Op. 58, B. 71: Stabat mater dolorosa"
SMETANA Dalibor: March (Documents 4011222910257),SMETANA,Dalibor: March
"JS BACH Flute Sonata in C major, BWV 1033: IV. Menuet I and II (8.553755)",JS BACH,"Flute Sonata in C major, BWV 1033: IV. Menuet I and II"
"ALBINONI Oboe Concerto in C major, Op. 7, No. 12 (8.553035)",ALBINONI,"Oboe Concerto in C major, Op. 7, No. 12"
"SCHUBERT Schwanengesang, D. 957: No. 4. Standchen (8.554663)",SCHUBERT,"Schwanengesang, D. 957: No. 4. Standchen"
BRAHMS Waltz No. 11 in B minor (8.570290),BRAHMS,Waltz No. 11 in B minor
"DEBUSSY String Quartet No. 1 in G minor, Op. 10 : II. Assez vif et bien rythme (8.550249)",DEBUSSY,"String Quartet No. 1 in G minor, Op. 10 : II. Assez vif et bien rythme"
"FAURE Dolly Suite, Op. 56: I. Berceuse (8.553638)",FAURE,"Dolly Suite, Op. 56: I. Berceuse"
"SCHUBERT Piano Trio in E-flat major, D. 929: I. Allegro (8.550132)",SCHUBERT,"Piano Trio in E-flat major, D. 929: I. Allegro"
CILEA Adriana Lecouvreur: Io son l'umile ancella (8.111275),CILEA,Adriana Lecouvreur: Io son l'umile ancella
GIORDANO Andrea Chenier: La mamma morta (8.551171),GIORDANO,Andrea Chenier: La mamma morta
"MOZART Ch'io mi scordi di te ... Non temer, amato bene, K. 505 (Ondine ODE1043-2)",MOZART,"Ch'io mi scordi di te ... Non temer, amato bene, K. 505"
"MOZART Litaniae de venerabili altaris sacramento, K. 125: Viaticum in Domino (Carus 4009350834026)",MOZART,"Litaniae de venerabili altaris sacramento, K. 125: Viaticum in Domino"
MOZART Litaniae de venerabili altaris sacramento: Dulcissimum convivium (Carus 4009350834026),MOZART,Litaniae de venerabili altaris sacramento: Dulcissimum convivium
"MOZART Mass No. 16 in C major, K. 317, ""Coronation Mass"" (8.550495)",MOZART,"Mass No. 16 in C major, K. 317, ""Coronation Mass"""
SPONTINI La Vestale: O nume tutelar (8.557109),SPONTINI,La Vestale: O nume tutelar
"TAVENER The Veil of the Temple: Mother of God, here I stand now praying (Signum Classics 635212036723)",TAVENER,"The Veil of the Temple: Mother of God, here I stand now praying"
CHOPIN Nocturne No. 21 in C minor (8.554531),CHOPIN,Nocturne No. 21 in C minor
"MENDELSSOHN Variations serieuses in D minor, Op. 54 (8.550940)",MENDELSSOHN,"Variations serieuses in D minor, Op. 54"
"SCHUBERT 4 Impromptus, Op. 90, D. 899: Impromptu No. 2 in E-flat major (8.550260)",SCHUBERT,"4 Impromptus, Op. 90, D. 899: Impromptu No. 2 in E-flat major"
"HANDEL Concerto Grosso in B minor, Op. 6, No. 12, HWV 330: III. Aria (8.557358-60)",HANDEL,"Concerto Grosso in B minor, Op. 6, No. 12, HWV 330: III. Aria"
"WEBER Aufforderung zum Tanze (Invitation to the Dance), Op. 65, J. 260 (8.550988)",WEBER,Aufforderung zum Tanze
"SZYMANOWSKI Stabat Mater, Op. 53 (8.553687)",SZYMANOWSKI,"Stabat Mater, Op. 53"
DEBUSSY Le petit negre (The Little Negro) (8.553291),DEBUSSY,Le petit negre
"JS BACH Harpsichord Concerto in F minor, BWV 1056 (8.550423)",JS BACH,"Harpsichord Concerto in F minor, BWV 1056"
"JS BACH Violin Concerto in A minor, BWV 1041 (8.550194)",JS BACH,"Violin Concerto in A minor, BWV 1041"
"VIVALDI  The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"" (Summer): III. Presto (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"""
"CHOPIN Etude No. 21 in G-flat major, Op. 25, No. 9, ""Butterfly's Wings"" (8.554528)",CHOPIN,"Etude No. 21 in G-flat major, Op. 25, No. 9, ""Butterfly's Wings"""
SULLIVAN The Pirates of Penzance (8.110196-97),SULLIVAN,The Pirates of Penzance
SULLIVAN The Pirates of Penzance: Climbing over rocky mountain (8.110196-97),SULLIVAN,The Pirates of Penzance: Climbing over rocky mountain
"VERDI La Traviata: Dammi tu forza, o cielo! (8.660011-12)",VERDI,"La Traviata: Dammi tu forza, o cielo!"
"LIADOV Kikimora, Op. 63 (8.555242)",LIADOV,"Kikimora, Op. 63"
"SCHUBERT Rondo in A major, D. 438 (Capriccio C10526)",SCHUBERT,"Rondo in A major, D. 438"
BYRD Mass Proper for the Feast of Corpus Christi: Cibavit eos (Nimbus NI5287),BYRD,Mass Proper for the Feast of Corpus Christi: Cibavit eos
"HAYDN Symphony No. 101 in D major, Hob.I:101, ""The Clock"": II. Andante (8.550114)",HAYDN,"Symphony No. 101 in D major, Hob.I:101, ""The Clock"": II. Andante"
"HAYDN Symphony No. 104 in D major, Hob.I:104, ""London"" (8.550287)",HAYDN,"Symphony No. 104 in D major, Hob.I:104, ""London"""
KREISLER Praeludium and Allegro in the style of Pugnani (8.572293),KREISLER,Praeludium and Allegro in the style of Pugnani
ROSSINI Semiramide: Overture (8.550236),ROSSINI,Semiramide: Overture
"GRIEG Lyric Pieces, Book 1, Op. 12: Albumblad (8.553394)",GRIEG,"Lyric Pieces, Book 1, Op. 12: Albumblad"
"SCHUBERT String Quartet No. 13 in A minor, D. 804: II. Andante (8.550591)",SCHUBERT,"String Quartet No. 13 in A minor, D. 804: II. Andante"
"BRAHMS Violin Concerto in D major, Op. 77: I. Allegro non troppo (8.550195)",BRAHMS,"Violin Concerto in D major, Op. 77: I. Allegro non troppo"
"PROKOFIEV Romeo and Juliet, Op. 64: Dance of the Knight (8.553184-85)",PROKOFIEV,"Romeo and Juliet, Op. 64: Dance of the Knight"
"BOCCHERINI String Quintet in E major, G. 275 (8.550731)",BOCCHERINI,"String Quintet in E major, G. 275"
"HAYDN Symphony No. 102 in B-flat major, Hob.I:102: III. Menuetto (8.550382)",HAYDN,"Symphony No. 102 in B-flat major, Hob.I:102: III. Menuetto"
LOVREGLIO La Traviata: Clarinet Fantasia (BIS 7318590010532),LOVREGLIO,La Traviata: Clarinet Fantasia
MONTI Csardas (8.550954),MONTI,Csardas
ROSSINI Il Barbiere di Siviglia (The Barber of Seville): Ah! qual colpo inaspettato! (8.660027-29),ROSSINI,Il Barbiere di Siviglia
"SCHUBERT Gesang, Op. 106, No. 4, D. 891, ""An Sylvia"", ""Who is Sylvia"" (8.557026-27)",SCHUBERT,"Gesang, Op. 106, No. 4, D. 891, ""An Sylvia"", ""Who is Sylvia"""
SULLIVAN The Mikado: On a tree by a river (8.110176-77),SULLIVAN,The Mikado: On a tree by a river
"SULLIVAN The Mikado: So please you sir, we much regret (8.110176-77)",SULLIVAN,"The Mikado: So please you sir, we much regret"
SULLIVAN The Mikado: The flowers that bloom in the spring (8.110176-77),SULLIVAN,The Mikado: The flowers that bloom in the spring
LULLY Au clair de la lune (Altissimo 75442270782),LULLY,Au clair de la lune
GLASS Metamorphosis I (Grand Piano GP691),GLASS,Metamorphosis I
GLASS The Hours (arr. M. Riesman and N. Muhly for piano): The Poet Acts (Grand Piano GP692),GLASS,The Hours
SULLIVAN H.M.S. Pinafore: A British Tar (8.110175),SULLIVAN,H.M.S. Pinafore: A British Tar
"RACHMANINOV Piano Concerto No. 2 in C minor, Op. 18: III. Allegro scherzando (8.550117)",RACHMANINOV,"Piano Concerto No. 2 in C minor, Op. 18: III. Allegro scherzando"
WAGNER Lohengrin: Act III: Prelude (8.550136),WAGNER,Lohengrin: Act III: Prelude
"JS BACH The Well-Tempered Clavier Book II: Prelude and Fugue No. 12 in F minor, BWV 857 (8.550970-71)",JS BACH,"The Well-Tempered Clavier Book II: Prelude and Fugue No. 12 in F minor, BWV 857"
"MENDELSSOHN A Midsummer Night's Dream: Scherzo, Op. 61, No. 1 (8.554433)",MENDELSSOHN,"A Midsummer Night's Dream: Scherzo, Op. 61, No. 1"
ADAM Giselle: Apparition de Giselle (8.550755-56),ADAM,Giselle: Apparition de Giselle
"ADAM Giselle: Entree d'Hilarion, scene et fugue des Wilis (8.550755-56)",ADAM,"Giselle: Entree d'Hilarion, scene et fugue des Wilis"
ADAM Giselle: Pas de deux des jeunes paysans (8.550755-56),ADAM,Giselle: Pas de deux des jeunes paysans
ADAM Giselle: Pas des premieres Wilis (8.550755-56),ADAM,Giselle: Pas des premieres Wilis
"GRIEG Piano Concerto in A minor, Op. 16: II. Adagio (8.550118)",GRIEG,"Piano Concerto in A minor, Op. 16: II. Adagio"
"MOZART Fantasia in C minor, K. 475 (8.550449)",MOZART,"Fantasia in C minor, K. 475"
"MOZART Piano Sonata No. 1 in C major, K. 279: II. Andante (8.550447)",MOZART,"Piano Sonata No. 1 in C major, K. 279: II. Andante"
"MOZART Piano Sonata No. 8 in A minor, K. 310: I. Allegro maestoso (8.550445)",MOZART,"Piano Sonata No. 8 in A minor, K. 310: I. Allegro maestoso"
TCHAIKOVSKY Sleeping Beauty: 28b. Pas de Deux: Adagio (8.550490-92),TCHAIKOVSKY,Sleeping Beauty: 28b. Pas de Deux: Adagio
"SHOSTAKOVICH The Gadfly Suite, Op. 97a: VIII. Romance (8.553299)",SHOSTAKOVICH,"The Gadfly Suite, Op. 97a: VIII. Romance"
"HAYDN String Quartet No. 63 in B-flat major, Op. 76, No. 4, Hob.III:78, ""Sunrise"" (8.550315)",HAYDN,"String Quartet No. 63 in B-flat major, Op. 76, No. 4, Hob.III:78, ""Sunrise"""
"SCHUBERT Sei mir gegrusst, Op. 20, No. 1, D. 741 (8.557831)",SCHUBERT,"Sei mir gegrusst, Op. 20, No. 1, D. 741"
"PURCELL A New Ground in E minor, Z.T682 (8.553982)",PURCELL,"A New Ground in E minor, Z.T682"
PURCELL Abdelazar Suite: V. Minuet (Vanguard Classics SVC-108HD),PURCELL,Abdelazar Suite: V. Minuet
"PURCELL King Arthur, Z. 628, ""The British Worthy"": Overture (9.81079-80)",PURCELL,"King Arthur, Z. 628, ""The British Worthy"": Overture"
"PURCELL King Arthur, Z. 628, ""The British Worthy"": Second Overture (9.81079-80)",PURCELL,"King Arthur, Z. 628, ""The British Worthy"": Second Overture"
"PURCELL The Fairy Queen, Z. 629 (8.550660-61)",PURCELL,"The Fairy Queen, Z. 629"
"PURCELL The Indian Queen, Z. 630: The Masque of Fame and Envy (8.553752)",PURCELL,"The Indian Queen, Z. 630: The Masque of Fame and Envy"
PURCELL Welcome to all the pleasures: Here the Deities Approve (ATMA Classique 722056213325),PURCELL,Welcome to all the pleasures: Here the Deities Approve
"RACHMANINOV Piano Concerto No. 2 in C minor, Op. 18 (8.550810)",RACHMANINOV,"Piano Concerto No. 2 in C minor, Op. 18"
"TCHAIKOVSKY Violin Concerto in D major, Op. 35 (8.550153)",TCHAIKOVSKY,"Violin Concerto in D major, Op. 35"
CHARPENTIER Te Deum: Prelude (Hungaroton 5991811292027),CHARPENTIER,Te Deum: Prelude
ALBINONI	 Adagio (8.550014),ALBINONI,Adagio
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 15 in G major, BWV 860 (8.553796-97)",JS BACH,"The Well-Tempered Clavier Book I: Prelude and Fugue No. 15 in G major, BWV 860"
"MENDELSSOHN String Quartet No. 1 in E-flat major, Op. 12: II. Canzonetta (8.570001)",MENDELSSOHN,"String Quartet No. 1 in E-flat major, Op. 12: II. Canzonetta"
"SAINT-SAENS Oratorio de Noel, Op. 12 (Capriccio C10216)",SAINT-SAENS,"Oratorio de Noel, Op. 12"
"SCHUBERT Winterreise, Op. 89, D. 911: No. 5. Der Lindenbaum (8.554471)",SCHUBERT,"Winterreise, Op. 89, D. 911: No. 5. Der Lindenbaum"
"TCHAIKOVSKY Swan Lake, Op. 20: Neapolitan Dance (8.550246-47)",TCHAIKOVSKY,"Swan Lake, Op. 20: Neapolitan Dance"
VERDI Rigoletto: Somiglia un Apollo quel giovine (Ah! presso alla morte) (8.660013-14),VERDI,Rigoletto: Somiglia un Apollo quel giovine
OFFENBACH  Orphee aux enfers (Orpheus in the Underworld): Can-Can (8.550924),OFFENBACH,Orphee aux enfers
"SHOSTAKOVICH Symphony No. 5 in D minor, Op. 47: III. Largo (8.550632)",SHOSTAKOVICH,"Symphony No. 5 in D minor, Op. 47: III. Largo"
"SHOSTAKOVICH Symphony No. 5 in D minor, Op. 47: IV. Allegro non troppo (8.550632)",SHOSTAKOVICH,"Symphony No. 5 in D minor, Op. 47: IV. Allegro non troppo"
"SHOSTAKOVICH Symphony No. 8 in C minor, Op. 65: I. Adagio (8.550628)",SHOSTAKOVICH,"Symphony No. 8 in C minor, Op. 65: I. Adagio"
"SHOSTAKOVICH Symphony No. 8 in C minor, Op. 65: IV. Largo (8.550628)",SHOSTAKOVICH,"Symphony No. 8 in C minor, Op. 65: IV. Largo"
"JS BACH Brandenburg Concerto No. 2 in F major, BWV 1047 (8.554607)",JS BACH,"Brandenburg Concerto No. 2 in F major, BWV 1047"
"JS BACH Brandenburg Concerto No. 3 in G major, BWV 1048: III. Allegro (8.554607)",JS BACH,"Brandenburg Concerto No. 3 in G major, BWV 1048: III. Allegro"
HERBERT Mlle Modiste (Albany TROY1146-47),HERBERT,Mlle Modiste
PUCCINI Gianni Schicchi: Firenze e come un albero fiorito (8.660111),PUCCINI,Gianni Schicchi: Firenze e come un albero fiorito
"BRAHMS Trio for Piano, Clarinet and Cello in A minor, Op. 114 (8.550391)",BRAHMS,"Trio for Piano, Clarinet and Cello in A minor, Op. 114"
"TCHAIKOVSKY Swan Lake, Op. 20: Act I: Pas de deux - I: Tempo de valse ma non troppo vivo (8.550246-47)",TCHAIKOVSKY,"Swan Lake, Op. 20: Act I: Pas de deux - I: Tempo de valse ma non troppo vivo"
"VIVALDI Concerto Grosso No. 2 in G minor, RV 578: I. Adagio e spiccato - Allegro (8.550160)",VIVALDI,"Concerto Grosso No. 2 in G minor, RV 578: I. Adagio e spiccato - Allegro"
"SHOSTAKOVICH From Jewish Folk Poetry, Op. 79: No. 3. Kolybal'naya (Lullaby) (9.81046)",SHOSTAKOVICH,"From Jewish Folk Poetry, Op. 79: No. 3. Kolybal'naya"
"JS BACH Brandenburg Concerto No. 1 in F major, BWV 1046 : I. Allegro (8.554607)",JS BACH,"Brandenburg Concerto No. 1 in F major, BWV 1046 : I. Allegro"
"JS BACH Brandenburg Concerto No. 1 in F major, BWV 1046: III. Allegro (8.554607)",JS BACH,"Brandenburg Concerto No. 1 in F major, BWV 1046: III. Allegro"
RAVEL String Quartet in F major (8.554722),RAVEL,String Quartet in F major
"HAYDN Piano Sonata No. 33 in C minor, Hob.XVI:20 (8.553800)",HAYDN,"Piano Sonata No. 33 in C minor, Hob.XVI:20"
"MOZART Le Nozze di Figaro (The Marriage of Figaro), K. 492: Overture and Aria (8.660102-04)",MOZART,Le Nozze di Figaro
"VIVALDI Gloria in D major, RV 589: Et in terra pax (8.550767)",VIVALDI,"Gloria in D major, RV 589: Et in terra pax"
"BIZET Carmen: L'amour est un oiseau rebelle, ""Habanera"" (8.660017-18)",BIZET,"Carmen: L'amour est un oiseau rebelle, ""Habanera"""
"VIVALDI The 4 Seasons: Violin Concerto in F minor, Op. 8, No. 4, RV 297, ""L'inverno"" (Winter): III. Allegro (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in F minor, Op. 8, No. 4, RV 297, ""L'inverno"""
"SCHUBERT Erlkonig, D. 328 (8.550476)",SCHUBERT,"Erlkonig, D. 328"
"JS BACH Violin Sonata No. 1 in G minor, BWV 1001: IV. Presto (8.554422)",JS BACH,"Violin Sonata No. 1 in G minor, BWV 1001: IV. Presto"
TAVENER Sappho: Lyrical Fragments (Harmonia Mundi HMU907231),TAVENER,Sappho: Lyrical Fragments
HILDEGARD OF BINGEN O quam mirabilis est (Harmonia Mundi HMU907327),HILDEGARD OF BINGEN,O quam mirabilis est
"JS BACH Organ Concerto in A minor, BWV 593 (arr. of Vivaldi's Violin Concerto in A minor, RV 522) (8.550936)",JS BACH,"Organ Concerto in A minor, BWV 593"
"JS BACH English Suite No. 2 in A minor, BWV 807: V. Bourree I and II (8.553012)",JS BACH,"English Suite No. 2 in A minor, BWV 807: V. Bourree I and II"
"ELGAR La capricieuse, Op. 17 (8.572643-45)",ELGAR,"La capricieuse, Op. 17"
GADE Tango Jalousie (8.554782),GADE,Tango Jalousie
"LEHAR Giuditta: Meine Lippen, sie kussen so heiss (8.550941)",LEHAR,"Giuditta: Meine Lippen, sie kussen so heiss"
"BEETHOVEN Piano Sonata No. 16 in G major, Op. 31, No. 1: II. Adagio grazioso (8.550166)",BEETHOVEN,"Piano Sonata No. 16 in G major, Op. 31, No. 1: II. Adagio grazioso"
KREISLER Liebesfreud (8.550306),KREISLER,Liebesfreud
"HAYDN String Quartet No. 27 in D major, Op. 20, No. 4, Hob.III:34 (8.550702)",HAYDN,"String Quartet No. 27 in D major, Op. 20, No. 4, Hob.III:34"
MOZART Ave verum corpus (8.553876),MOZART,Ave verum corpus
D SCARLATTI Keyboard Sonata in D major (8.572586),D SCARLATTI,Keyboard Sonata in D major
"MENDELSSOHN Symphony No. 4 in A major, Op. 90, ""Italian"": III. Con moto moderato (8.553200)",MENDELSSOHN,"Symphony No. 4 in A major, Op. 90, ""Italian"": III. Con moto moderato"
"RACHMANINOV Piano Concerto No. 2 in C minor, Op. 18: I. Moderato (8.550810)",RACHMANINOV,"Piano Concerto No. 2 in C minor, Op. 18: I. Moderato"
GAUNTLETT Once in Royal David's City (8.550589),GAUNTLETT,Once in Royal David's City
TRADITIONAL Amazing Grace (Delos DE3203),TRADITIONAL,Amazing Grace
"CHOPIN Waltz No. 1 in E-flat major, Op. 18 (8.554539)",CHOPIN,"Waltz No. 1 in E-flat major, Op. 18"
"LISZT 3 etudes de concert, S144/R5: No. 3 in D-flat major (8.557014)",LISZT,"3 etudes de concert, S144/R5: No. 3 in D-flat major"
"LISZT Grandes Etudes de Paganini, S141/R3b: No. 3 in G-sharp minor, ""La campanella"" (8.550510)",LISZT,"Grandes Etudes de Paganini, S141/R3b: No. 3 in G-sharp minor, ""La campanella"""
"RACHMANINOV Piano Concerto No. 3 in D minor, Op. 30 (8.550666)",RACHMANINOV,"Piano Concerto No. 3 in D minor, Op. 30"
"VIVALDI Gloria in D Major, RV 589 (8.550767)",VIVALDI,"Gloria in D Major, RV 589"
"VIVALDI Nulla in mundo pax sincera, RV 630 (8.557445)",VIVALDI,"Nulla in mundo pax sincera, RV 630"
"BARTOK Music for Strings, Percussion and Celesta, Sz. 106 (8.550261)",BARTOK,"Music for Strings, Percussion and Celesta, Sz. 106"
PENDERECKI De natura sonoris No. 1 (8.572482),PENDERECKI,De natura sonoris No. 1
PENDERECKI Utrenja (8.572031),PENDERECKI,Utrenja
STRAVINSKY The Firebird: Finale (8.554060),STRAVINSKY,The Firebird: Finale
